id,latitude,longitude
1610,-76.9866768267,38.8810837151
1611,-76.9905345831,38.8866935221
1612,-76.9880373541,38.8894228315
1613,-76.9824490164,38.8634589379
1614,-76.9843611564,38.8802139382
1615,-76.9838585232,38.8793191565
1616,-76.9663753482,38.8604328208
1617,-76.9648891331,38.8532079858
1618,-76.9529803576,38.8904737257
1619,-76.9190357482,38.8855889822
1620,-76.9867486512,38.8642048613
1621,-76.9894724229,38.8650608478
1622,-76.9811600626,38.8449561432
1623,-76.9823568718,38.865186918
1624,-76.9821400213,38.8660909693
1625,-76.9833665146,38.887778231
1626,-76.9348029399,38.8733159033
1627,-76.9902145313,38.8335557969
1628,-76.931922627,38.890624691
1629,-76.9900360306,38.8334126374
1630,-76.9860270847,38.8808532946
1631,-76.9834347418,38.8873164712
1632,-76.9745941244,38.8713148984
1633,-76.973393156,38.8718876555
1634,-76.971625041,38.8743095083
1635,-76.9335310504,38.8816034516
1636,-76.9253064296,38.889411273
1637,-76.9875120003,38.858338753
1638,-76.9865492412,38.8835412784
1639,-76.9833549091,38.8900946432
1640,-76.966670964,38.8590244388
1641,-76.9653710892,38.8763822752
1642,-76.9898649309,38.9004106894
1643,-76.9896320453,38.9132027926
1644,-76.9907582832,38.9375715545
1645,-76.9839330215,38.8934384516
1646,-76.9833364082,38.8952794081
1647,-76.9839628222,38.9095774662
1648,-76.9860010055,38.9145027673
1649,-76.9800015554,38.9169565751
1650,-76.9739660967,38.8981474001
1651,-76.9752493034,38.9169800777
1652,-76.9716664054,38.9198948095
1653,-76.9731117761,38.9308419678
1654,-76.9690092866,38.9200130449
1655,-76.9657284247,38.9338050296
1656,-76.9485300608,38.8952260175
1657,-76.9445858902,38.9000555788
1658,-76.913399244,38.8949019442
1659,-76.9913039546,38.9358015561
1660,-76.9897412315,38.9004186059
1661,-76.9889293019,38.9003817777
1662,-76.9872169683,38.8999725333
1663,-76.9902900949,38.9029381098
1664,-76.9906812052,38.9307341573
1665,-76.9852588518,38.896884777
1666,-76.9859682626,38.9004177633
1667,-76.9787060398,38.8949945319
1668,-76.978635269,38.8949699262
1669,-76.9768395716,38.898758772
1670,-76.9705995029,38.9179768531
1671,-76.97260919,38.9229581346
1672,-76.9690092866,38.9200130449
1673,-76.9691359834,38.9240874528
1674,-76.9643941015,38.9264026831
1675,-76.9491555785,38.9218573941
1676,-76.9407930799,38.9023155368
1677,-76.9920038833,38.9004177017
1678,-76.9904615208,38.900391822
1679,-76.988981752,38.9004040333
1680,-76.9870649367,38.8998333375
1681,-76.986375983,38.8999931575
1682,-76.9843554252,38.9000458735
1683,-76.9797700509,38.9005672939
1684,-76.9806005607,38.9039135883
1685,-76.9785276784,38.9069757043
1686,-76.9724002608,38.9199037232
1687,-76.9722860868,38.9196407431
1688,-76.9689328354,38.9210669086
1689,-76.9633050554,38.9184041271
1690,-76.9557574381,38.8959228928
1691,-76.9393889867,38.9003141505
1692,-76.9349270743,38.9026107735
1693,-76.9912144318,38.9003871967
1694,-76.9900272538,38.9003748501
1695,-76.9900083381,38.8971494951
1696,-76.989310306,38.900412892
1697,-76.9865862791,38.8998765236
1698,-76.9903031514,38.9374945868
1699,-76.9905207197,38.9381200506
1700,-76.9814389332,38.899497378
1701,-76.9859856455,38.9011305967
1702,-76.9860527805,38.9239217
1703,-76.9859544143,38.9250811489
1704,-76.9791222497,38.9195657738
1705,-76.9601983561,38.9297173796
1706,-76.9458631637,38.8989082422
1707,-76.9257545798,38.8973857696
1708,-76.9913039546,38.9358015561
1709,-76.9912641668,38.899993265
1710,-76.9906583084,38.900389766
1711,-76.9890351259,38.9004167401
1712,-76.9886998339,38.9000057469
1713,-76.9869222025,38.8999179101
1714,-76.986499791,38.900018035
1715,-76.9903544113,38.9030389186
1716,-76.9833947725,38.8921553142
1717,-76.9809763717,38.9027244574
1718,-76.9812649865,38.9262252681
1719,-76.9767742139,38.8987405622
1720,-76.9783962026,38.9284297379
1721,-76.9783962026,38.9284297379
1722,-76.9739660967,38.8981474001
1723,-76.9721437633,38.9164608591
1724,-76.9633050554,38.9184041271
1725,-76.9605635643,38.9293759984
1726,-76.9503339386,38.8929778589
1727,-76.9474549418,38.8931319938
1728,-76.9468883578,38.9007563275
1729,-76.9389307446,38.9003074258
1730,-76.9370555249,38.9081863978
1731,-76.93491153,38.9119390002
1732,-76.9255253694,38.897864058
1733,-76.9898023366,38.9003819473
1734,-76.9848110218,38.9097813483
1735,-76.9752029777,38.9298314277
1736,-76.956623572,38.8959970862
1737,-76.9524865939,38.8911087063
1738,-76.9423361425,38.8973690972
1739,-76.9364752645,38.9029854723
1740,-76.990984734,38.8999100065
1741,-76.9906106307,38.9000158253
1742,-76.9905383489,38.9000159095
1743,-76.9862859764,38.9004440153
1744,-76.9859682626,38.9004177633
1745,-76.9857827813,38.9003754016
1746,-76.9839346299,38.8996050374
1747,-76.9828311425,38.9015828456
1748,-76.9843541867,38.9135765915
1749,-76.9821519426,38.9257776035
1750,-76.9767761292,38.8992310678
1751,-76.9765509007,38.8991399483
1752,-76.9798847389,38.9051296848
1753,-76.9766960806,38.9177151847
1754,-76.9743749358,38.8983013533
1755,-76.9738868979,38.9192533033
1756,-76.9732271584,38.9227211788
1757,-76.9701748696,38.9186675942
1758,-76.9562037231,38.8960226034
1759,-76.92430331,38.9041574136
1760,-76.9907805003,38.9004486904
1761,-76.9897412315,38.9004186059
1762,-76.9868451819,38.8999851038
1763,-76.9866213048,38.9073589555
1764,-76.9895897498,38.9201703727
1765,-76.9901611794,38.9248506956
1766,-76.9912026874,38.9329881659
1767,-76.9903951708,38.9368164499
1768,-76.98347133,38.8910795452
1769,-76.9860284399,38.9004185812
1770,-76.9814080109,38.9035816717
1771,-76.9810916721,38.9039763669
1772,-76.9768395716,38.898758772
1773,-76.9715792435,38.9253534709
1774,-76.9735391611,38.9306244246
1775,-76.9652091672,38.9248480031
1776,-76.9502169992,38.8942130369
1777,-76.9494218768,38.8933605936
1778,-76.9340796346,38.9030783726
1779,-76.926143685,38.8977897712
1780,-76.911702621,38.8941763109
1781,-77.0016045948,38.82248524
1782,-77.010649497,38.8211203413
